                                        8 Feb 2018 13:42:20
Satellite-CougSat:  Model Area


                            Time (UTCG)          Area (m^2)
                     ------------------------    ----------
                      4 Jun 2019 17:37:00.000      6.317228
                      4 Jun 2019 18:37:00.000      6.608792
                      4 Jun 2019 19:37:00.000      6.511604
                      4 Jun 2019 20:37:00.000      6.705980
                      4 Jun 2019 21:37:00.000      6.317228
                      4 Jun 2019 22:37:00.000      6.705980
                      4 Jun 2019 23:37:00.000      6.220039
                      5 Jun 2019 00:37:00.000      6.705980
                      5 Jun 2019 01:37:00.000      6.220039
                      5 Jun 2019 02:37:00.000      6.511604
                      5 Jun 2019 03:37:00.000      6.414416
                      5 Jun 2019 04:37:00.000      6.705980
                      5 Jun 2019 05:37:00.000      6.025663
                      5 Jun 2019 06:37:00.000      6.803168
                      5 Jun 2019 07:37:00.000      6.317228
                      5 Jun 2019 08:37:00.000      6.705980
                      5 Jun 2019 09:37:00.000      6.608792
                      5 Jun 2019 10:37:00.000      6.997544
                      5 Jun 2019 11:37:00.000      6.511604
                      5 Jun 2019 12:37:00.000      6.705980
                      5 Jun 2019 13:37:00.000      6.511604
                      5 Jun 2019 14:37:00.000      6.803168
                      5 Jun 2019 15:37:00.000      6.122851
                      5 Jun 2019 16:37:00.000      7.094732
                      5 Jun 2019 17:37:00.000      6.705980
                      5 Jun 2019 18:37:00.000      6.317228
                      5 Jun 2019 19:37:00.000      6.511604
                      5 Jun 2019 20:37:00.000      6.220039
                      5 Jun 2019 21:37:00.000      6.414416
                      5 Jun 2019 22:37:00.000      6.608792
                      5 Jun 2019 23:37:00.000      6.608792
                      6 Jun 2019 00:37:00.000      6.705980
                      6 Jun 2019 01:37:00.000      6.025663
                      6 Jun 2019 02:37:00.000      6.900356
                      6 Jun 2019 03:37:00.000      6.900356
                      6 Jun 2019 04:37:00.000      6.608792
                      6 Jun 2019 05:37:00.000      6.900356
                      6 Jun 2019 06:37:00.000      5.831287
                      6 Jun 2019 07:37:00.000      6.122851
                      6 Jun 2019 08:37:00.000      6.220039
                      6 Jun 2019 09:37:00.000      6.803168
                      6 Jun 2019 10:37:00.000      7.094732
                      6 Jun 2019 11:37:00.000      6.122851
