"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
78,12 Jun 2019 17:49:15.244,12 Jun 2019 18:21:22.182,1926.937
79,12 Jun 2019 20:10:31.629,12 Jun 2019 20:43:19.129,1967.501
80,12 Jun 2019 22:30:33.032,12 Jun 2019 23:00:26.785,1793.753
81,13 Jun 2019 00:53:45.379,13 Jun 2019 01:08:38.021,892.642
82,13 Jun 2019 11:19:27.420,13 Jun 2019 11:47:33.543,1686.123
83,13 Jun 2019 13:35:15.563,13 Jun 2019 14:07:42.109,1946.546
84,13 Jun 2019 15:56:04.788,13 Jun 2019 16:28:39.402,1954.614
85,13 Jun 2019 18:18:35.017,13 Jun 2019 18:50:57.537,1942.520
86,13 Jun 2019 20:39:24.484,13 Jun 2019 21:11:47.118,1942.634
87,13 Jun 2019 22:59:30.743,13 Jun 2019 23:27:26.753,1676.010
88,14 Jun 2019 09:38:37.580,14 Jun 2019 09:53:34.180,896.600
89,14 Jun 2019 11:46:57.904,14 Jun 2019 12:16:27.712,1769.808
90,14 Jun 2019 14:03:51.226,14 Jun 2019 14:36:33.828,1962.602
91,14 Jun 2019 16:25:33.506,14 Jun 2019 16:58:00.318,1946.812
92,14 Jun 2019 18:47:48.206,14 Jun 2019 19:20:23.505,1955.299
93,14 Jun 2019 21:08:14.451,14 Jun 2019 21:39:58.598,1904.148
94,14 Jun 2019 23:28:39.986,14 Jun 2019 23:54:05.059,1525.073
95,15 Jun 2019 10:03:15.127,15 Jun 2019 10:24:04.647,1249.521
96,15 Jun 2019 12:14:35.134,15 Jun 2019 12:45:20.013,1844.879
97,15 Jun 2019 14:32:51.601,15 Jun 2019 15:05:36.655,1965.053
98,15 Jun 2019 16:55:02.923,15 Jun 2019 17:27:20.226,1937.303
99,15 Jun 2019 19:16:53.344,15 Jun 2019 19:49:35.364,1962.021
100,15 Jun 2019 21:37:03.560,15 Jun 2019 22:08:19.413,1875.853
101,15 Jun 2019 23:58:10.845,16 Jun 2019 00:20:14.388,1323.543
102,16 Jun 2019 10:29:18.873,16 Jun 2019 10:53:36.857,1457.985
103,16 Jun 2019 12:42:38.905,16 Jun 2019 13:14:11.567,1892.662
104,16 Jun 2019 15:02:00.641,16 Jun 2019 15:34:40.983,1960.342
105,16 Jun 2019 17:24:28.392,16 Jun 2019 17:56:38.309,1929.918
106,16 Jun 2019 19:45:52.273,16 Jun 2019 20:18:40.562,1968.289
107,16 Jun 2019 22:05:54.298,16 Jun 2019 22:36:12.793,1818.495
108,17 Jun 2019 00:28:27.981,17 Jun 2019 00:45:32.039,1024.057
109,17 Jun 2019 10:55:15.694,17 Jun 2019 11:22:54.090,1658.396
110,17 Jun 2019 13:10:47.559,17 Jun 2019 13:43:06.097,1938.538
111,17 Jun 2019 15:31:17.050,17 Jun 2019 16:03:56.961,1959.911
112,17 Jun 2019 17:53:49.661,17 Jun 2019 18:26:03.706,1934.045
113,17 Jun 2019 20:14:46.220,17 Jun 2019 20:47:20.812,1954.592
114,17 Jun 2019 22:34:49.938,17 Jun 2019 23:03:16.881,1706.943
115,18 Jun 2019 01:01:52.189,18 Jun 2019 01:06:55.826,303.636
116,18 Jun 2019 09:15:47.811,18 Jun 2019 09:28:05.495,737.684
117,18 Jun 2019 11:22:39.070,18 Jun 2019 11:51:48.040,1748.971
118,18 Jun 2019 13:39:15.791,18 Jun 2019 14:11:55.151,1959.359
119,18 Jun 2019 16:00:44.905,18 Jun 2019 16:33:13.792,1948.887
120,18 Jun 2019 18:23:04.947,18 Jun 2019 18:55:38.361,1953.414
121,18 Jun 2019 20:43:36.785,18 Jun 2019 21:15:31.315,1914.530
122,18 Jun 2019 23:03:55.316,18 Jun 2019 23:30:04.419,1569.103
123,19 Jun 2019 09:39:23.068,19 Jun 2019 09:59:05.983,1182.916
124,19 Jun 2019 11:50:14.195,19 Jun 2019 12:20:42.110,1827.916
125,19 Jun 2019 14:08:05.098,19 Jun 2019 14:40:56.010,1970.912
126,19 Jun 2019 16:30:14.804,19 Jun 2019 17:02:36.575,1941.771
127,19 Jun 2019 18:52:12.029,19 Jun 2019 19:24:52.011,1959.982
128,19 Jun 2019 21:12:25.910,19 Jun 2019 21:43:49.721,1883.811
129,19 Jun 2019 23:33:18.820,19 Jun 2019 23:56:21.940,1383.121
130,20 Jun 2019 10:05:26.810,20 Jun 2019 10:28:49.383,1402.573
131,20 Jun 2019 12:18:10.253,20 Jun 2019 12:49:32.409,1882.156
132,20 Jun 2019 14:37:17.329,20 Jun 2019 15:09:58.549,1961.220
133,20 Jun 2019 16:59:41.335,20 Jun 2019 17:31:47.892,1926.557
134,20 Jun 2019 19:21:12.547,20 Jun 2019 19:54:00.168,1967.621
135,20 Jun 2019 21:41:15.918,20 Jun 2019 22:11:59.297,1843.379
136,21 Jun 2019 00:03:18.986,21 Jun 2019 00:22:00.440,1121.454
137,21 Jun 2019 10:31:16.650,21 Jun 2019 10:58:12.394,1615.744
138,21 Jun 2019 12:46:19.861,21 Jun 2019 13:18:27.385,1927.524
139,21 Jun 2019 15:06:29.737,21 Jun 2019 15:39:10.801,1961.064
140,21 Jun 2019 17:29:03.848,21 Jun 2019 18:01:09.259,1925.411
141,21 Jun 2019 19:50:07.705,21 Jun 2019 20:22:50.985,1963.280
142,21 Jun 2019 22:10:09.834,21 Jun 2019 22:39:09.120,1739.286
143,22 Jun 2019 00:35:01.790,22 Jun 2019 00:45:10.459,608.670
144,22 Jun 2019 08:53:17.034,22 Jun 2019 09:02:14.838,537.804
145,22 Jun 2019 10:58:19.233,22 Jun 2019 11:27:09.519,1730.287
146,22 Jun 2019 13:14:46.663,22 Jun 2019 13:47:15.274,1948.612
147,22 Jun 2019 15:35:56.429,22 Jun 2019 16:08:27.699,1951.270
148,22 Jun 2019 17:58:20.873,22 Jun 2019 18:30:52.355,1951.482
149,22 Jun 2019 20:18:59.012,22 Jun 2019 20:51:03.234,1924.222
150,22 Jun 2019 22:39:11.943,22 Jun 2019 23:06:07.645,1615.703
151,23 Jun 2019 09:15:49.264,23 Jun 2019 09:34:02.137,1092.874
152,23 Jun 2019 11:25:55.906,23 Jun 2019 11:56:03.829,1807.923
153,23 Jun 2019 13:43:22.980,23 Jun 2019 14:16:13.000,1970.020
154,23 Jun 2019 16:05:26.155,23 Jun 2019 16:37:49.799,1943.644
155,23 Jun 2019 18:27:30.241,23 Jun 2019 19:00:08.460,1958.220
156,23 Jun 2019 20:47:48.313,23 Jun 2019 21:19:17.704,1889.391
157,23 Jun 2019 23:08:29.330,23 Jun 2019 23:32:23.595,1434.265
158,24 Jun 2019 09:41:35.539,24 Jun 2019 10:03:59.490,1343.951
159,24 Jun 2019 11:53:47.020,24 Jun 2019 12:24:53.738,1866.718
160,24 Jun 2019 14:12:34.854,24 Jun 2019 14:45:16.248,1961.394
161,24 Jun 2019 16:34:53.940,24 Jun 2019 17:07:04.693,1930.753
162,24 Jun 2019 18:56:32.424,24 Jun 2019 19:29:18.456,1966.031
163,24 Jun 2019 21:16:37.821,24 Jun 2019 21:47:36.885,1859.064
164,24 Jun 2019 23:38:16.444,24 Jun 2019 23:58:14.097,1197.654
165,25 Jun 2019 10:07:25.464,25 Jun 2019 10:33:28.668,1563.204
166,25 Jun 2019 12:21:53.204,25 Jun 2019 12:53:48.878,1915.674
167,25 Jun 2019 14:41:44.290,25 Jun 2019 15:14:27.340,1963.051
168,25 Jun 2019 17:04:17.617,25 Jun 2019 17:36:27.557,1929.940
169,25 Jun 2019 19:25:28.905,25 Jun 2019 19:58:15.288,1966.383
170,25 Jun 2019 21:45:30.322,25 Jun 2019 22:15:05.093,1774.770
171,26 Jun 2019 00:09:15.441,26 Jun 2019 00:22:16.699,781.258
172,26 Jun 2019 10:34:07.160,26 Jun 2019 11:02:30.768,1703.607
173,26 Jun 2019 12:50:08.772,26 Jun 2019 13:22:36.796,1948.024
174,26 Jun 2019 15:11:09.408,26 Jun 2019 15:43:40.086,1950.678
175,26 Jun 2019 17:33:36.312,26 Jun 2019 18:06:02.804,1946.491
176,26 Jun 2019 19:54:21.090,26 Jun 2019 20:26:35.357,1934.268
177,26 Jun 2019 22:14:29.664,26 Jun 2019 22:42:01.488,1651.824
178,27 Jun 2019 08:52:30.233,27 Jun 2019 09:09:00.929,990.696
179,27 Jun 2019 11:01:39.945,27 Jun 2019 11:31:25.081,1785.135
180,27 Jun 2019 13:18:46.504,27 Jun 2019 13:51:31.656,1965.152
181,27 Jun 2019 15:40:37.303,27 Jun 2019 16:13:02.938,1945.635
182,27 Jun 2019 18:02:47.959,27 Jun 2019 18:35:24.523,1956.564
183,27 Jun 2019 20:23:10.733,27 Jun 2019 20:54:48.860,1898.126
184,27 Jun 2019 22:43:41.924,27 Jun 2019 23:08:34.750,1492.826
185,28 Jun 2019 09:17:43.014,28 Jun 2019 09:39:11.103,1288.090
186,28 Jun 2019 11:29:24.048,28 Jun 2019 12:00:16.320,1852.271
187,28 Jun 2019 13:47:53.298,28 Jun 2019 14:20:35.258,1961.960
188,28 Jun 2019 16:10:06.258,28 Jun 2019 16:42:21.349,1935.091
189,28 Jun 2019 18:31:51.877,28 Jun 2019 19:04:35.695,1963.818
190,28 Jun 2019 20:51:59.939,28 Jun 2019 21:23:09.986,1870.047
191,28 Jun 2019 23:13:18.676,28 Jun 2019 23:34:40.380,1281.704
192,29 Jun 2019 09:43:38.010,29 Jun 2019 10:08:37.876,1499.866
193,29 Jun 2019 11:57:29.345,29 Jun 2019 12:29:09.099,1899.755
194,29 Jun 2019 14:16:59.897,29 Jun 2019 14:49:45.051,1965.154
195,29 Jun 2019 16:39:31.001,29 Jun 2019 17:11:38.144,1927.143
196,29 Jun 2019 19:00:49.785,29 Jun 2019 19:33:37.695,1967.910
197,29 Jun 2019 21:20:51.304,29 Jun 2019 21:50:52.141,1800.837
198,29 Jun 2019 23:43:50.404,29 Jun 2019 23:59:37.429,947.025
199,30 Jun 2019 10:09:54.358,30 Jun 2019 10:37:51.726,1677.368
200,30 Jun 2019 12:25:37.012,30 Jun 2019 12:58:01.536,1944.524
201,30 Jun 2019 14:46:20.180,30 Jun 2019 15:18:56.538,1956.358
202,30 Jun 2019 17:08:51.264,30 Jun 2019 17:41:12.050,1940.785
203,30 Jun 2019 19:29:42.976,30 Jun 2019 20:02:09.669,1946.693
204,30 Jun 2019 21:49:48.310,30 Jun 2019 22:17:54.170,1685.859
205,1 Jul 2019 08:29:29.360,1 Jul 2019 08:43:40.219,850.860
206,1 Jul 2019 10:37:23.329,1 Jul 2019 11:06:45.778,1762.450
207,1 Jul 2019 12:54:10.640,1 Jul 2019 13:26:52.133,1961.493
208,1 Jul 2019 15:15:48.654,1 Jul 2019 15:48:16.062,1947.408
209,1 Jul 2019 17:38:05.163,1 Jul 2019 18:10:39.840,1954.677
210,1 Jul 2019 19:58:33.118,1 Jul 2019 20:30:20.528,1907.410
211,1 Jul 2019 22:18:56.245,1 Jul 2019 22:44:35.590,1539.345
212,2 Jul 2019 08:53:47.488,2 Jul 2019 09:14:17.113,1229.625
213,2 Jul 2019 11:04:58.724,2 Jul 2019 11:35:38.635,1839.911
214,2 Jul 2019 13:23:07.563,2 Jul 2019 13:55:54.312,1966.748
215,2 Jul 2019 15:45:18.212,2 Jul 2019 16:17:37.555,1939.343
216,2 Jul 2019 18:07:10.883,2 Jul 2019 18:39:52.151,1961.269
217,2 Jul 2019 20:27:22.211,2 Jul 2019 20:58:40.610,1878.399
218,2 Jul 2019 22:48:24.591,2 Jul 2019 23:10:47.800,1343.208
219,3 Jul 2019 09:19:51.255,3 Jul 2019 09:43:53.095,1441.840
220,3 Jul 2019 11:33:00.143,3 Jul 2019 12:04:29.711,1889.568
221,3 Jul 2019 13:52:18.451,3 Jul 2019 14:24:56.306,1957.855
222,3 Jul 2019 16:14:44.082,3 Jul 2019 16:46:53.906,1929.824
223,3 Jul 2019 18:36:10.319,3 Jul 2019 19:08:58.591,1968.272
224,3 Jul 2019 20:56:12.691,3 Jul 2019 21:26:39.374,1826.683
225,3 Jul 2019 23:18:35.758,3 Jul 2019 23:36:12.116,1056.358
226,4 Jul 2019 09:45:44.734,4 Jul 2019 10:13:11.555,1646.820
227,4 Jul 2019 12:01:09.532,4 Jul 2019 12:33:24.390,1934.859
228,4 Jul 2019 14:21:32.571,4 Jul 2019 14:54:14.085,1961.514
229,4 Jul 2019 16:44:05.757,4 Jul 2019 17:16:16.035,1930.278
230,4 Jul 2019 19:05:04.636,4 Jul 2019 19:37:42.479,1957.843
231,4 Jul 2019 21:25:07.743,4 Jul 2019 21:53:44.532,1716.790
232,4 Jul 2019 23:51:12.695,4 Jul 2019 23:58:27.711,435.017
233,5 Jul 2019 08:06:43.260,5 Jul 2019 08:18:01.665,678.405
234,5 Jul 2019 10:13:02.550,5 Jul 2019 10:42:06.448,1743.898
235,5 Jul 2019 12:29:35.154,5 Jul 2019 13:02:13.292,1958.138
236,5 Jul 2019 14:51:00.082,5 Jul 2019 15:23:29.782,1949.700
237,5 Jul 2019 17:13:21.612,5 Jul 2019 17:45:54.489,1952.877
238,5 Jul 2019 19:33:55.423,5 Jul 2019 20:05:52.360,1916.936
239,5 Jul 2019 21:54:12.013,5 Jul 2019 22:20:37.131,1585.118
240,6 Jul 2019 08:29:59.213,6 Jul 2019 08:49:16.517,1157.304
241,6 Jul 2019 10:40:39.515,6 Jul 2019 11:11:00.621,1821.105
